Source	Target	#inTop50	#inCorpus	judgement	similarity
אודיסא	לפניאיזהירחים	1	0	False	0.899550199508667
אודיסא	תרליח	7	0	False	0.8991063833236694
אודיסא	גרוישבערג	9	2	True	0.8979282975196838
אודיסא	יאהאנעסבורג	5	2	True	0.8967776894569397
אודיסא	במאנטובה	1	2	True	0.8947983384132385
אודסא	נאנטעס	1	1	True	0.9239928722381592
אודסא	בפאדאלסק	1	4	True	0.9143727421760559
אודסא	לכתבהו	2	2	False	0.9140689373016357
אודסא	ומגראדנא	1	2	True	0.9128857254981995
אודסא	הדרפטי	1	1	False	0.9128382205963135
אודסא	האדעסאי	1	2	False	0.9104312062263489
אודסא	גמיננע	2	0	False	0.9097732305526733
אודעססא	וקאלאניען	1	3	True	0.8664343953132629
אודעססא	אינגלאטיררא	1	4	True	0.8562936782836914
אודעססא	ובהובלתם	1	2	False	0.8512791395187378
אודעססא	איננלאטיררא	2	3	True	0.8470982313156128
אודעססא	מודעהלהורים	2	0	False	0.8446485996246338
אודעססא	והמחוזים	1	2	False	0.8441572189331055
אודעססא	האיברופא	1	2	True	0.8433260917663574
אודעססא	ויצוואותם	2	0	False	0.8390187621116638
אודעססא	ובעססארביה	1	5	True	0.8376682996749878
אודעססא	לפאבריקאנטין	1	0	False	0.8305045366287231
אודעססא	בהישובים	1	4	False	0.8286579847335815
אודעססא	וגאליציע	2	4	True	0.8286069631576538
אודעססא	אשרבכלעיר	1	0	False	0.828266978263855
אודעססא	רוסיאופולין	1	0	True	0.8269153237342834
אודעססא	והעיירות	1	5	False	0.8268021941184998
אוהעלי	לאנצוט	43	7	True	0.9303951263427734
אוהעלי	ברעמגארטען	44	1	True	0.9241736531257629
אוהעלי	הארשיטן	15	0	True	0.9178860187530518
אוהעלי	ונגארן	12	4	True	0.9177963137626648
אוהעלי	ראגאזען	23	2	True	0.9162608981132507
אוהעלי	אשפצין	20	2	True	0.914109468460083
אוהעלי	סעפלאק	17	0	True	0.913158655166626
אוהעלי	בערנשטאדט	4	2	True	0.9110225439071655
אוהעלי	קישינעף	7	0	True	0.9101945161819458
אוהעלי	מערטיר	16	5	True	0.9100357294082642
אוהעלי	ניישטאדטל	21	2	True	0.9093332290649414
אוהעלי	פאדהייצע	10	2	True	0.9086847305297852
אוהעלי	סאראטה	6	0	True	0.9086328744888306
אוהעלי	טאטר	7	1	True	0.907947301864624
אוהעלי	מבעלפאסט	12	3	True	0.9070301055908203
אוהעלי	בסעמפלין	9	0	True	0.9068830013275146
אוהעלי	מערטער	15	7	True	0.9063919186592102
אוטרעכט	האסקאי	1	2	False	0.8625469207763672
אוטרעכט	באיא	5	3	True	0.8599519729614258
אוטרעכט	טולוזא	3	10	True	0.8588035106658936
אוטרעכט	הדאנאוי	2	3	False	0.8583694696426392
אוטרעכט	ביאפאניען	2	4	True	0.857780933380127
אוטרעכט	סלוניקי	1	3	True	0.8570080995559692
אוטרעכט	בסענט	5	3	True	0.8528836965560913
אוטרעכט	בליווערפאאל	5	0	True	0.8524449467658997
אוטרעכט	לילל	5	9	True	0.8521702289581299
אוטרעכט	לילע	3	4	True	0.8507140278816223
אוטרעכט	זעראייעווא	3	3	True	0.8497701287269592
אוטרעכט	בוטשאטש	3	5	True	0.8488669991493225
אונגוואר	פוזין	2	5	True	0.8815773725509644
אונגוואר	דאמבראווא	13	3	True	0.873509407043457
אונגוואר	מאנהיים	13	6	True	0.8643379211425781
אונגוואר	בירוט	20	8	True	0.8637900352478027
אונגוואר	באדקי	5	1	True	0.8556520342826843
אונגוואר	טשערנאוויטץ	21	8	True	0.8549519777297974
אונגוואר	פרעמיסלא	21	6	True	0.8534978628158569
אונגוואר	פאזעוואלק	9	9	True	0.8524564504623413
אונגוואר	סימפעראפעל	23	4	True	0.8523337244987488
אונגוואר	תקסו	7	1	False	0.850885272026062
